단축코드,표준코드,한글명,그룹코드,시가총액규모,지수업종대분류,지수업종중분류,지수업종소분류,제조업,저유동성,지배구조지수종목,KOSPI200섹터업종,KOSPI100,KOSPI50,KRX,ETP,ELW발행,KRX100,KRX자동차,KRX반도체,KRX바이오,KRX은행,SPAC,KRX에너지화학,KRX철강,단기과열,KRX미디어통신,KRX건설,Non1,KRX증권,KRX선박,KRX섹터_보험,KRX섹터_운송,SRI,기준가,매매수량단위,시간외수량단위,거래정지,정리매매,관리종목,시장경고,경고예고,불성실공시,우회상장,락구분,액면변경,증자구분,증거금비율,신용가능,신용기간,전일거래량,액면가,상장일자,상장주수,자본금,결산월,공모가,우선주,공매도과열,이상급등,KRX300,KOSPI,매출액,영업이익,경상이익,당기순이익,ROE,기준년월,시가총액,그룹사코드,회사신용한도초과,담보대출가능,대주가능
001360,KR7001360007,삼성제약,ST,3.0,0,9,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,2675,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,797872,500,19750704,67162,33581039500,12.0,,0,,N,N,Y,549,-181,-403,-403,-32.33,20211231.0,1796,,N,N,N
001380,KR7001380005,SG글로벌,ST,3.0,0,15,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,1282,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,95590,500,19760629,44964,22482071500,12.0,,0,,N,N,Y,677,-14,-16,-24,-2.0,20221231.0,576,,N,N,N
001390,KR7001390004,KG케미칼,ST,3.0,0,8,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,1,N,N,,N,N,N,N,N,31100,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,538795,5000,19890825,13866,71638725000,12.0,,0,,N,N,Y,42949,4245,3769,5763,46.84,20220930.0,4312,,N,N,N
001420,KR7001420009,태원물산,ST,3.0,0,15,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,4945,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,18229,500,19750624,7600,3800000000,12.0,,0,,N,N,Y,110,-5,4,-14,-4.47,20221231.0,375,,N,N,N
001430,KR7001430008,세아베스틸지주,ST,2.0,0,11,0,Y,N,N,0,N,N,Y,,N,N,N,N,N,N,N,N,Y,0,N,N,,N,N,N,N,N,20550,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,202894,5000,19910312,35862,219310595000,12.0,,0,,N,N,Y,33061,1246,1408,1155,8.41,20220930.0,7369,474,N,N,N
001440,KR7001440007,대한전선,ST,2.0,0,13,0,Y,N,N,9,N,N,Y,,N,N,N,N,N,N,N,N,N,0,N,N,,N,Y,N,N,N,1440,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,5519973,100,19681227,1244473,124447300900,12.0,,0,,N,N,Y,17966,285,127,97,1.85,20220930.0,17920,LB7,N,N,Y
001450,KR7001450006,현대해상,ST,2.0,0,21,0,N,N,Y,6,N,N,Y,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,Y,N,Y,34550,1,1,N,N,N,0,N,N,N,0,0,0,30,Y,90,903124,500,19890825,89400,44700000000,12.0,,0,,N,Y,Y,203844,8080,7868,5746,12.44,20221231.0,30887,,N,N,N
001460,KR7001460005,BYC,ST,3.0,0,6,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,507000,1,1,N,N,N,0,N,N,N,0,0,0,40,N,90,152,5000,19750602,624,3123075000,12.0,,0,,N,N,Y,1212,160,374,290,7.8,20220930.0,3166,,N,N,N
001465,KR7001461003,BYC우,ST,0.0,0,6,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,160500,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,553,5000,19890905,215,1076925000,12.0,,1,,N,N,N,0,0,0,0,0.0,,345,,N,N,N
001470,KR7001470004,삼부토건,ST,3.0,0,18,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,1200,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,1188629,1000,19760626,197673,197673375000,12.0,,0,,N,N,Y,3242,-57,-56,-76,-3.82,20220930.0,2372,,N,N,N
001500,KR7001500008,현대차증권,ST,3.0,0,21,0,N,N,N,0,N,N,Y,,N,N,N,N,N,N,N,N,N,0,N,N,,Y,N,N,N,N,8660,1,1,N,N,N,0,N,N,N,0,0,0,30,Y,90,50272,5000,19900609,31712,158562810000,12.0,,0,,N,N,Y,10101,1132,1135,857,9.54,20220930.0,2746,BH1,N,N,N
001510,KR7001510007,SK증권,ST,3.0,0,21,0,N,N,N,0,N,N,Y,,N,N,N,N,N,N,N,N,N,0,N,N,,Y,N,N,N,N,714,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,2728199,500,19860920,472590,236295085500,12.0,,0,,N,N,Y,10170,86,113,70,1.56,20220930.0,3374,,N,N,N
001515,KR7001511005,SK증권우,ST,0.0,0,21,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,3,N,N,,N,N,N,N,N,2665,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,3378,500,19890829,3912,1956257000,12.0,,1,,N,N,N,0,0,0,0,0.0,,104,,N,N,N
001520,KR7001520006,동양,ST,3.0,0,10,0,Y,N,N,0,N,N,Y,,N,N,N,N,N,N,N,N,N,0,N,Y,,N,N,N,N,N,1053,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,827712,500,19760625,238684,119342031500,12.0,,0,,N,N,Y,5527,59,8,-15,-0.25,20220930.0,2513,,N,N,N
001525,KR7001521004,동양우,ST,0.0,0,10,0,Y,Y,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,3,N,N,,N,N,N,N,N,6480,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,35,500,19890930,617,308865500,12.0,,1,,N,N,N,0,0,0,0,0.0,,40,,N,N,N
001527,KR7001522002,동양2우B,ST,0.0,0,10,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,13780,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,506,500,19990128,308,154284500,12.0,,2,,N,N,N,0,0,0,0,0.0,,42,,N,N,N
001530,KR7001530005,DI동일,ST,3.0,0,16,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,24300,1,1,N,N,N,0,N,N,N,0,0,0,40,N,90,561890,500,19640104,25568,12784135000,12.0,,0,,N,N,Y,7059,455,577,470,10.21,20220930.0,6213,,N,N,N
001550,KR7001550003,조비,ST,3.0,0,8,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,16130,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,13575,5000,19761228,5192,25961195000,12.0,,0,,N,N,Y,846,31,21,19,3.54,20211231.0,837,,N,N,N
001560,KR7001560002,제일연마,ST,3.0,0,10,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,10480,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,12808,500,20051209,10000,5000000000,12.0,,0,,N,N,Y,616,37,10,11,1.6,20220930.0,1048,,N,N,N
001570,KR7001570001,금양,ST,2.0,0,8,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,47450,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,2491866,500,19761217,58050,29025018500,12.0,,0,,N,N,Y,1544,109,76,36,3.33,20220930.0,27544,,N,N,N
001620,KR7001620004,케이비아이동국실업,ST,3.0,0,15,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,653,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,252072,500,19900915,100273,50136508000,12.0,,0,,N,N,Y,4307,-220,4,-13,-0.71,20220930.0,654,,N,N,N
001630,KR7001630003,종근당홀딩스,ST,3.0,0,9,0,Y,N,N,0,N,N,Y,,N,N,N,N,Y,N,N,N,N,0,N,N,,N,N,N,N,N,52000,1,1,N,N,N,0,N,N,N,0,0,0,30,Y,90,1563,2500,19760630,5009,12524652500,12.0,,0,,N,N,Y,9090,-329,-247,-227,0.2,20221231.0,2605,,N,N,N
001680,KR7001680008,대상,ST,2.0,0,5,0,Y,N,N,7,N,N,Y,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,19090,1,1,N,N,N,0,N,N,N,0,0,0,30,Y,90,63234,1000,19700401,34648,34648025000,12.0,,0,,N,Y,Y,30747,1258,923,629,6.76,20220930.0,6614,,N,N,Y
001685,KR7001681006,대상우,ST,0.0,0,5,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,15090,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,930,1000,19891121,1370,1370223000,12.0,,1,,N,N,N,0,0,0,0,0.0,,206,,N,N,N
001720,KR7001720002,신영증권,ST,2.0,0,21,0,N,N,N,0,N,N,Y,,N,N,N,N,N,N,N,N,N,0,N,N,,Y,N,N,N,N,58400,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,1987,5000,19870824,9386,46931185000,3.0,,0,,N,N,Y,19295,339,461,319,2.43,20221231.0,5481,,N,N,N
001725,KR7001721000,신영증권우,ST,0.0,0,21,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,58800,1,1,N,N,N,0,N,N,N,0,0,0,60,N,90,229,5000,19880816,7053,35268815000,3.0,,1,,N,N,N,0,0,0,0,0.0,,4147,,N,N,N
