단축코드,표준코드,한글종목명,증권그룹구분코드,시가총액 규모 구분 코드 유가,지수업종 대분류 코드,지수 업종 중분류 코드,지수업종 소분류 코드,벤처기업 여부 (Y/N),저유동성종목 여부,KRX 종목 여부,ETP 상품구분코드,KRX100 종목 여부 (Y/N),KRX 자동차 여부,KRX 반도체 여부,KRX 바이오 여부,KRX 은행 여부,기업인수목적회사여부,KRX 에너지 화학 여부,KRX 철강 여부,단기과열종목구분코드,KRX 미디어 통신 여부,KRX 건설 여부,(코스닥)투자주의환기종목여부,KRX 증권 구분,KRX 선박 구분,KRX섹터지수 보험여부,KRX섹터지수 운송여부,"KOSDAQ150지수여부 (Y,N)",주식 기준가,정규 시장 매매 수량 단위,시간외 시장 매매 수량 단위,거래정지 여부,정리매매 여부,관리 종목 여부,시장 경고 구분 코드,시장 경고위험 예고 여부,불성실 공시 여부,우회 상장 여부,락구분 코드,액면가 변경 구분 코드,증자 구분 코드,증거금 비율,신용주문 가능 여부,신용기간,전일 거래량,주식 액면가,주식 상장 일자,상장 주수(천),자본금,결산 월,공모 가격,우선주 구분 코드,공매도과열종목여부,이상급등종목여부,KRX300 종목 여부 (Y/N),매출액,영업이익,경상이익,단기순이익,ROE(자기자본이익률),기준년월,전일기준 시가총액 (억),그룹사 코드,회사신용한도초과여부,담보대출가능여부,대주가능여부
003100,KR7003100005,선광,ST,1.0,0,1013,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,158400,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,23251,1000,19991221,6600,6600000000,12,,0,,N,N,1721,268,202,147,4,20221231.0,10454,,N,N,N
003310,KR7003310000,대주산업,ST,3.0,0,1009,1019,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,2150,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,368065,500,19920801,35392,18696175000,12,,0,,N,N,703,35,29,23,5,20220930.0,760,,N,N,N
003380,KR7003380003,하림지주,ST,1.0,0,1014,0,,N,Y,,N,,,,,N,,,0,,,N,,,,,Y,12570,1,1,N,N,N,0,N,N,N,0,0,0,30,Y,90,619131,100,20170630,112005,11242047800,12,,0,,N,Y,105848,8101,2878,2497,4,20220930.0,14079,HRM,N,N,Y
003800,KR7003800000,에이스침대,ST,2.0,0,1009,1031,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,31900,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,651,1000,19960503,11090,11090000000,12,,0,,N,N,3462,653,713,544,9,20221231.0,3537,,N,N,N
004590,KR7004590006,한국가구,ST,3.0,0,1011,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,4220,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,62415,100,19930603,15000,1500000000,12,,0,,N,N,1009,147,149,118,8,20221231.0,633,,N,N,N
004650,KR7004650008,창해에탄올,ST,3.0,0,1009,1019,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,10230,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,24150,500,20140730,9190,4595442500,12,,0,,N,N,804,87,47,35,3,20220930.0,940,,N,N,N
004780,KR7004780003,대륙제관,ST,3.0,0,1009,1026,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,4500,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,22805,500,19941229,15903,7951599500,12,,0,,N,N,2359,76,94,76,6,20211231.0,715,,N,N,N
005160,KR7005160007,동국산업,ST,2.0,0,1009,1026,N,N,Y,,N,N,N,N,N,N,N,Y,0,N,N,N,N,N,N,N,N,5700,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,2969179,1000,19990625,54244,54244482000,12,,0,,N,N,6785,221,249,183,4,20220930.0,3091,,N,N,N
005290,KR7005290002,동진쎄미켐,ST,1.0,1007,1018,1040,N,N,Y,,N,N,N,N,N,N,Y,N,0,N,N,N,N,N,N,N,Y,31400,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,998535,500,19991221,51414,25707247000,12,,0,,N,Y,10839,1582,1727,1295,28,20220930.0,16144,,N,N,Y
005670,KR7005670005,푸드웰,ST,3.0,0,1009,1019,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,5400,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,77547,500,19931207,10000,5000000000,12,,0,,N,N,1839,61,50,49,5,20221231.0,540,,N,N,N
